size,rank,NX,omp_threads,setup_time,comm_time,comp_time
32,2,1000,1,0.283163,0.248957,0.296866
32,2,1000,2,0.263583,0.174112,0.150120
32,2,1000,32,0.282210,0.097134,0.021929
32,2,1000,4,0.277120,0.232367,0.077707
32,2,1000,8,0.308452,0.114217,0.041991
32,30,10000,16,0.293584,7.815046,1.985846
32,30,10000,1,0.299779,10.188995,29.621055
32,30,10000,2,0.298127,9.883527,15.003730
32,30,10000,32,0.300334,5.593321,1.002150
32,30,10000,4,0.296967,9.641251,7.579073
32,30,10000,8,0.308492,8.934637,3.826206
32,30,1000,16,0.298451,0.136684,0.027284
32,30,1000,1,0.282941,0.224727,0.321095
32,30,1000,2,0.263638,0.167338,0.156853
32,30,1000,32,0.281985,0.096997,0.022053
32,30,1000,4,0.276794,0.228742,0.081321
32,30,1000,8,0.308251,0.112381,0.043803
32,31,10000,16,0.293622,7.783551,2.017466
32,31,10000,1,0.299805,10.065414,29.744587
32,31,10000,2,0.298272,9.846893,15.040453
32,31,10000,32,0.300345,5.566548,1.028932
32,31,10000,4,0.297099,9.595190,7.625110
32,31,10000,8,0.308681,8.896177,3.864749
32,31,1000,16,0.298395,0.131899,0.032093
32,31,1000,1,0.282956,0.232726,0.313093
32,31,1000,2,0.263452,0.167278,0.156920
32,31,1000,32,0.281954,0.096687,0.022379
32,31,1000,4,0.276980,0.228886,0.081211
32,31,1000,8,0.308285,0.107630,0.048572
32,3,10000,16,0.293678,3.822905,5.983982
32,3,10000,1,0.300023,4.513610,35.305410
32,3,10000,2,0.298183,4.536436,20.359878
32,3,10000,32,0.300575,3.239015,3.359794
32,3,10000,4,0.297255,4.441903,12.784186
32,3,10000,8,0.308653,4.183355,8.583208
32,3,1000,16,0.298467,0.137417,0.026579
32,3,1000,1,0.283105,0.248110,0.297705
32,3,1000,2,0.263629,0.173903,0.150328
32,3,1000,32,0.282254,0.097719,0.021338
32,3,1000,4,0.277061,0.232732,0.077367
32,3,1000,8,0.308427,0.114139,0.042069
32,4,10000,16,0.293806,7.799302,2.001835
32,4,10000,1,0.299899,9.989243,29.820892
32,4,10000,2,0.298309,9.798156,15.089201
32,4,10000,32,0.300576,5.565536,1.029926
32,4,10000,4,0.297337,9.591984,7.628337
32,4,10000,8,0.308755,8.902212,3.858571
32,4,1000,16,0.298598,0.136396,0.027571
32,4,1000,1,0.283186,0.248872,0.296813
32,4,1000,2,0.263542,0.173864,0.150352
32,4,1000,32,0.282029,0.097790,0.021265
32,4,1000,4,0.277090,0.232434,0.077649
32,4,1000,8,0.295781,0.113592,0.042608
32,5,10000,16,0.293780,7.802959,1.998030
32,5,10000,1,0.299978,10.013356,29.796759
32,5,10000,2,0.298317,9.796569,15.090814
32,5,10000,32,0.300593,5.555415,1.040049
32,5,10000,4,0.297315,9.581200,7.639008
32,5,10000,8,0.308675,8.876154,3.884750
32,5,1000,16,0.298377,0.137481,0.026500
32,5,1000,1,0.283061,0.249012,0.296803
32,5,1000,2,0.263691,0.173526,0.150689
32,5,1000,32,0.282092,0.097373,0.021684
32,5,1000,4,0.277020,0.230123,0.079976
32,5,1000,8,0.308374,0.113125,0.043074
32,6,10000,16,0.293743,7.769913,2.031159
32,6,10000,1,0.299971,9.881614,29.928653
32,6,10000,2,0.298207,9.767376,15.120128
32,6,10000,32,0.300471,4.967911,1.627867
32,6,10000,4,0.297356,9.552539,7.667838
32,6,10000,8,0.308632,8.889604,3.871385
32,6,1000,16,0.298455,0.137205,0.026765
32,6,1000,1,0.283092,0.249198,0.296618
32,6,1000,2,0.263577,0.170143,0.154075
32,6,1000,32,0.281986,0.098491,0.020582
32,6,1000,4,0.277033,0.229996,0.080095
32,6,1000,8,0.308470,0.113613,0.042560
